user;timestamp;cpu;ram;disco;swap
Guilherme;2025-08-25 13:05:45;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:46;9.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:47;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:48;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:49;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:50;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:51;11.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:52;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:53;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:54;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:55;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:56;3.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:57;2.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:58;3.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:05:59;5.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:00;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:01;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:02;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:03;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:04;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:05;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:06;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:07;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:08;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:09;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:10;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:11;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:12;3.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:13;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:14;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:15;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:16;1.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:17;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:18;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:19;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:20;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:21;0.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:22;1.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:23;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:24;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:25;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:26;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:27;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:28;1.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:29;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:30;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:31;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:32;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:33;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:34;1.7;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:35;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:36;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:37;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:38;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:39;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:40;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:41;0.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:42;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:43;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:44;1.2;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:45;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:46;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:47;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:48;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:49;1.5;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:50;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:51;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:52;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:53;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:54;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:55;1.0;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:56;1.3;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:57;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:58;0.8;4.0;144.2;4.3
Guilherme;2025-08-25 13:06:59;11.5;4.0;144.2;4.3
